"NSFTV.ID","Exp","Rep","DayOfImaging","PSA"
"NSFTV_10","E1","2",6,NA
"NSFTV_10","E1","2",7,NA
"NSFTV_10","E1","2",8,NA
"NSFTV_10","E1","2",9,NA
"NSFTV_10","E1","2",10,NA
"NSFTV_10","E1","2",11,NA
"NSFTV_10","E1","2",12,NA
"NSFTV_10","E1","2",13,NA
"NSFTV_10","E1","2",14,NA
"NSFTV_10","E1","2",15,NA
"NSFTV_10","E1","2",16,NA
"NSFTV_10","E1","2",17,NA
"NSFTV_10","E1","2",18,NA
"NSFTV_10","E1","2",19,NA
"NSFTV_10","E1","2",20,NA
"NSFTV_10","E2","1",1,9069
"NSFTV_10","E2","1",2,9094
"NSFTV_10","E2","1",3,10517
"NSFTV_10","E2","1",4,12970
"NSFTV_10","E2","1",5,16632
"NSFTV_10","E2","1",6,18312
"NSFTV_10","E2","1",7,22779
"NSFTV_10","E2","1",8,27253
"NSFTV_10","E2","1",9,32219
"NSFTV_10","E2","1",10,38755
"NSFTV_10","E2","1",11,43223
"NSFTV_10","E2","1",12,50027
"NSFTV_10","E2","1",13,55329
"NSFTV_10","E2","1",14,61796
"NSFTV_10","E2","1",15,67407
"NSFTV_10","E2","1",16,77895
"NSFTV_10","E2","1",17,90301
"NSFTV_10","E2","1",18,104462
"NSFTV_10","E2","1",19,111379
"NSFTV_10","E2","1",20,125484
"NSFTV_10","E2","2",1,NA
"NSFTV_10","E2","2",2,NA
"NSFTV_10","E2","2",3,NA
"NSFTV_10","E2","2",4,NA
"NSFTV_10","E2","2",5,NA
"NSFTV_10","E2","2",6,NA
"NSFTV_10","E2","2",7,NA
"NSFTV_10","E2","2",8,NA
"NSFTV_10","E2","2",9,NA
"NSFTV_10","E2","2",10,NA
"NSFTV_10","E2","2",11,NA
"NSFTV_10","E2","2",12,NA
"NSFTV_10","E2","2",13,NA
"NSFTV_10","E2","2",14,NA
"NSFTV_10","E2","2",15,NA
"NSFTV_10","E2","2",16,NA
"NSFTV_10","E2","2",17,NA
"NSFTV_10","E2","2",18,NA
"NSFTV_10","E2","2",19,NA
"NSFTV_10","E2","2",20,NA
"NSFTV_10","E3","1",1,9463
"NSFTV_10","E3","1",2,11290
"NSFTV_10","E3","1",3,12204
"NSFTV_10","E3","1",4,14943
"NSFTV_10","E3","1",5,17950
"NSFTV_10","E3","1",6,21791
"NSFTV_10","E3","1",7,27533
"NSFTV_10","E3","1",8,38719
"NSFTV_10","E3","1",9,47043
"NSFTV_10","E3","1",10,55300
"NSFTV_10","E3","1",11,61009
"NSFTV_10","E3","1",12,80022
"NSFTV_10","E3","1",13,93413
"NSFTV_10","E3","1",14,112162
"NSFTV_10","E3","1",15,133497
"NSFTV_10","E3","1",16,159387
"NSFTV_10","E3","1",17,189449
"NSFTV_10","E3","1",18,231377
"NSFTV_10","E3","1",19,269343
"NSFTV_10","E3","1",20,314440
"NSFTV_10","E3","2",1,NA
"NSFTV_10","E3","2",2,NA
"NSFTV_10","E3","2",3,NA
"NSFTV_10","E3","2",4,NA
"NSFTV_10","E3","2",5,NA
"NSFTV_10","E3","2",6,NA
"NSFTV_10","E3","2",7,NA
"NSFTV_10","E3","2",8,NA
"NSFTV_10","E3","2",9,NA
"NSFTV_10","E3","2",10,NA
"NSFTV_10","E3","2",11,NA
"NSFTV_10","E3","2",12,NA
"NSFTV_10","E3","2",13,NA
"NSFTV_10","E3","2",14,NA
"NSFTV_10","E3","2",15,NA
"NSFTV_10","E3","2",16,NA
"NSFTV_10","E3","2",17,NA
"NSFTV_10","E3","2",18,NA
"NSFTV_10","E3","2",19,NA
"NSFTV_10","E3","2",20,NA
"NSFTV_101","E1","1",1,12706
"NSFTV_101","E1","1",2,15773
"NSFTV_101","E1","1",3,20259
"NSFTV_101","E1","1",4,25198
"NSFTV_101","E1","1",5,30772
"NSFTV_101","E1","1",6,38947
"NSFTV_101","E1","1",7,49372
"NSFTV_101","E1","1",8,62624
"NSFTV_101","E1","1",9,70967
"NSFTV_101","E1","1",10,87990
"NSFTV_101","E1","1",11,110742
"NSFTV_101","E1","1",12,136531
"NSFTV_101","E1","1",13,157664
"NSFTV_101","E1","1",14,172920
"NSFTV_101","E1","1",15,209979
"NSFTV_101","E1","1",16,239953
"NSFTV_101","E1","1",17,293052
"NSFTV_101","E1","1",18,345898
"NSFTV_101","E1","1",19,373088
"NSFTV_101","E1","1",20,417017
"NSFTV_101","E1","2",1,NA
"NSFTV_101","E1","2",2,NA
"NSFTV_101","E1","2",3,NA
"NSFTV_101","E1","2",4,NA
"NSFTV_101","E1","2",5,NA
"NSFTV_101","E1","2",6,NA
"NSFTV_101","E1","2",7,NA
"NSFTV_101","E1","2",8,NA
"NSFTV_101","E1","2",9,NA
"NSFTV_101","E1","2",10,NA
"NSFTV_101","E1","2",11,NA
"NSFTV_101","E1","2",12,NA
"NSFTV_101","E1","2",13,NA
"NSFTV_101","E1","2",14,NA
"NSFTV_101","E1","2",15,NA
"NSFTV_101","E1","2",16,NA
"NSFTV_101","E1","2",17,NA
"NSFTV_101","E1","2",18,NA
"NSFTV_101","E1","2",19,NA
"NSFTV_101","E1","2",20,NA
"NSFTV_101","E2","1",1,11241
"NSFTV_101","E2","1",2,12728
"NSFTV_101","E2","1",3,16629
"NSFTV_101","E2","1",4,20498
"NSFTV_101","E2","1",5,24021
"NSFTV_101","E2","1",6,27843
"NSFTV_101","E2","1",7,33170
"NSFTV_101","E2","1",8,41515
"NSFTV_101","E2","1",9,48483
"NSFTV_101","E2","1",10,51315
"NSFTV_101","E2","1",11,59140
"NSFTV_101","E2","1",12,67868
"NSFTV_101","E2","1",13,78165
"NSFTV_101","E2","1",14,89499
"NSFTV_101","E2","1",15,96090
"NSFTV_101","E2","1",16,115958
"NSFTV_101","E2","1",17,137581
"NSFTV_101","E2","1",18,169625
"NSFTV_101","E2","1",19,186913
"NSFTV_101","E2","1",20,201827
"NSFTV_101","E2","2",1,10544
"NSFTV_101","E2","2",2,13011
"NSFTV_101","E2","2",3,15445
"NSFTV_101","E2","2",4,18728
"NSFTV_101","E2","2",5,19897
"NSFTV_101","E2","2",6,23987
